CCLE_feature_id,TCGA_feature_id,Uppsala_feature_ids,Lambrechts,TRACERx_feature_id,HGNC symbol,Gene description
Cxcl1,CXCL1|2919,ENSG00000163739,CXCL1,CXCL1,CXCL1,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]
Cdcp1,CDCP1|64866,ENSG00000163814,CDCP1,CDCP1,CDCP1,CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]
Itga2,ITGA2|3673,ENSG00000164171,ITGA2,ITGA2,ITGA2,integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]
Foxq1,FOXQ1|94234,ENSG00000164379,FOXQ1,FOXQ1,FOXQ1,forkhead box Q1 [Source:HGNC Symbol;Acc:HGNC:20951]
Steap1,STEAP1|26872,ENSG00000164647,STEAP1,STEAP1,STEAP1,STEAP family member 1 [Source:HGNC Symbol;Acc:HGNC:11378]
Aqp3,AQP3|360,ENSG00000165272,AQP3,AQP3,AQP3,aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]
Il8,IL8|3576,ENSG00000169429,CXCL8,CXCL8,CXCL8,C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]
Fos,FOS|2353,ENSG00000170345,FOS,FOS,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]"
Junb,JUNB|3726,ENSG00000171223,JUNB,JUNB,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]"
Myd88,MYD88|4615,ENSG00000172936,MYD88,MYD88,MYD88,MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]
Raph1,RAPH1|65059,ENSG00000173166,RAPH1,RAPH1,RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:14436]
C12orf35,C12orf35|55196,ENSG00000174718,RESF1,KIAA1551,RESF1,retroelement silencing factor 1 [Source:HGNC Symbol;Acc:HGNC:25559]
C4orf32,C4orf32|132720,ENSG00000174749,FAM241A,C4orf32,FAM241A,family with sequence similarity 241 member A [Source:HGNC Symbol;Acc:HGNC:26813]
Clcf1,CLCF1|23529,ENSG00000175505,CLCF1,CLCF1,CLCF1,cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]
Sfn,SFN|2810,ENSG00000175793,SFN,SFN,SFN,stratifin [Source:HGNC Symbol;Acc:HGNC:10773]
PHLDA2 Phlda2,PHLDA2|7262,ENSG00000181649,PHLDA2,PHLDA2,PHLDA2,pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]
Smtn,SMTN|6525,ENSG00000183963,SMTN,SMTN,SMTN,smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]
Sema4b,SEMA4B|10509,ENSG00000185033,SEMA4B,SEMA4B,SEMA4B,semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]
Spry4,SPRY4|81848,ENSG00000187678,SPRY4,SPRY4,SPRY4,sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533]
S100a6,S100A6|6277,ENSG00000197956,S100A6,S100A6,S100A6,S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]
Serpinb5,SERPINB5|5268,ENSG00000206075,SERPINB5,SERPINB5,SERPINB5,serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]
